article_id,lp_id,mention_context,mention_prominence,coverage_type,sentiment
art_001,lp_001,Major commitment,Primary,Investment news,Positive
art_002,lp_007,Fund investor,Secondary,LP roundup,Neutral
art_003,lp_002,Canadian pension,Secondary,LP perspective,Positive
art_004,lp_001,Lead investor,Primary,Fundraising news,Positive
art_005,lp_005,Insurance allocation,Secondary,Asset allocation,Neutral
art_006,lp_003,Sovereign wealth,Primary,SWF focus,Positive
art_007,lp_008,New commitment,Secondary,Fund update,Neutral
art_008,lp_013,LP strategy,Primary,Investment approach,Positive
art_008,lp_010,Portfolio construction,Secondary,Allocation strategy,Neutral
art_009,lp_004,Endowment investing,Secondary,University funds,Neutral
art_010,lp_001,Quarterly review,Primary,Performance update,Mixed
art_011,lp_015,Interview subject,Primary,LP interview,Positive
art_012,lp_006,European investor,Secondary,Regional focus,Neutral
art_013,lp_011,Market analysis,Secondary,LP trends,Neutral
art_014,lp_012,Development finance,Primary,DFI focus,Positive
art_015,lp_002,Annual allocation,Primary,Year-end review,Positive
art_016,lp_001,Board update,Secondary,Governance news,Neutral
art_017,lp_009,ESG leader,Primary,Sustainability focus,Positive
art_018,lp_007,Breaking news,Secondary,Market update,Neutral
art_019,lp_014,New allocation,Primary,Investment news,Positive
art_020,lp_003,Strategic shift,Primary,Strategy update,Positive
art_021,lp_005,Insurance trends,Secondary,Sector analysis,Mixed
art_022,lp_016,Opinion mention,Tertiary,Market commentary,Neutral
art_023,lp_004,Digital strategy,Secondary,Tech allocation,Positive
art_024,lp_001,Case study,Primary,Success story,Positive
art_025,lp_002,Performance data,Secondary,Returns analysis,Neutral
art_026,lp_008,Asia strategy,Primary,Regional allocation,Positive
art_027,lp_009,Impact investing,Primary,ESG allocation,Positive
art_028,lp_006,Weekly roundup,Tertiary,News digest,Neutral
art_029,lp_010,Energy allocation,Secondary,Sector focus,Positive
art_030,lp_013,Team news,Secondary,Personnel update,Neutral
