event_id,topic_id,relevance_score,topic_focus,session_count
event_001,topic_001,100,Primary Theme,8
event_001,topic_005,75,Secondary Theme,3
event_001,topic_012,60,Panel Topic,2
event_002,topic_003,95,Main Focus,6
event_002,topic_008,70,Track Theme,3
event_003,topic_002,100,Conference Theme,7
event_003,topic_014,65,Workshop Topic,2
event_004,topic_004,90,Summit Focus,5
event_004,topic_009,75,Keynote Topic,3
event_005,topic_007,100,Core Theme,9
event_006,topic_010,85,Primary Focus,4
event_006,topic_015,70,Special Session,2
event_007,topic_011,95,Main Theme,6
event_008,topic_001,90,Annual Theme,5
event_008,topic_013,60,Breakout Topic,2
event_009,topic_006,100,Conference Focus,8
event_010,topic_016,80,Regional Focus,3
event_010,topic_003,75,Industry Trend,3
event_011,topic_017,90,Strategic Theme,4
event_012,topic_018,85,Market Focus,3
event_013,topic_019,100,Sector Deep Dive,7
event_014,topic_020,75,Global Theme,3
event_014,topic_001,70,Recurring Topic,2
event_015,topic_021,95,Innovation Focus,5
event_016,topic_022,80,Emerging Topic,3
event_017,topic_023,100,Tech Focus,8
event_018,topic_024,90,Policy Theme,4
event_019,topic_025,85,Future Outlook,3
event_020,topic_001,100,Year-end Review,6
event_020,topic_007,75,Market Outlook,3
event_001,topic_002,50,Side Session,1
event_003,topic_009,55,Sponsor Topic,1
event_005,topic_011,60,Lunch Discussion,1
event_007,topic_004,65,Networking Theme,1
event_009,topic_013,50,Exhibition Focus,1
event_011,topic_005,70,Awards Category,2
event_013,topic_015,55,Research Topic,1
event_015,topic_008,60,Startup Focus,1
event_017,topic_010,65,Demo Topic,1
event_019,topic_006,50,Closing Theme,1
